"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","682","loginValidationTest","Surefire suite","Sat May 10 00:26:53 EEST 2025","passed","Sat May 10 00:26:53 EEST 2025","websitetests.LoginTest","Surefire test","websitetests.LoginTest","loginValidationTest"
"","465","loginValidationTest","Surefire suite","Sat May 10 00:27:27 EEST 2025","passed","Sat May 10 00:27:27 EEST 2025","websitetests.LoginTest","Surefire test","websitetests.LoginTest","loginValidationTest"
"","2844","addButtonFunction","Surefire suite","Sat May 10 00:25:58 EEST 2025","passed","Sat May 10 00:26:01 EEST 2025","websitetests.AddButtonTest","Surefire test","websitetests.AddButtonTest","addButtonFunction"
"","1158","loginValidationTest","Surefire suite","Sat May 10 00:27:22 EEST 2025","passed","Sat May 10 00:27:23 EEST 2025","websitetests.LoginTest","Surefire test","websitetests.LoginTest","loginValidationTest"
"","4740","addItems","Surefire suite","Sat May 10 00:26:23 EEST 2025","passed","Sat May 10 00:26:27 EEST 2025","websitetests.AddItemsToCartTest","Surefire test","websitetests.AddItemsToCartTest","addItems"
"","2048","loginValidationTest","Surefire suite","Sat May 10 00:26:47 EEST 2025","passed","Sat May 10 00:26:49 EEST 2025","websitetests.LoginTest","Surefire test","websitetests.LoginTest","loginValidationTest"
"","9665","testCompleteCheckoutFlow","Surefire suite","Sat May 10 00:27:46 EEST 2025","passed","Sat May 10 00:27:56 EEST 2025","websitetests.SwagLabsTest","Surefire test","websitetests.SwagLabsTest","testCompleteCheckoutFlow"
"","557","loginValidationTest","Surefire suite","Sat May 10 00:27:18 EEST 2025","passed","Sat May 10 00:27:18 EEST 2025","websitetests.LoginTest","Surefire test","websitetests.LoginTest","loginValidationTest"
"","8267","addItems","Surefire suite","Sat May 10 00:26:36 EEST 2025","passed","Sat May 10 00:26:44 EEST 2025","websitetests.AddItemsToCartTest","Surefire test","websitetests.AddItemsToCartTest","addItems"
"","7502","addButtonFunction","Surefire suite","Sat May 10 00:26:11 EEST 2025","passed","Sat May 10 00:26:19 EEST 2025","websitetests.AddButtonTest","Surefire test","websitetests.AddButtonTest","addButtonFunction"
"","3313","addItems","Surefire suite","Sat May 10 00:28:12 EEST 2025","failed","Sat May 10 00:28:15 EEST 2025","websitetests.SyncProductsTest","Surefire test","websitetests.SyncProductsTest","addItems"
"","13776","addItems","Surefire suite","Sat May 10 00:28:19 EEST 2025","passed","Sat May 10 00:28:32 EEST 2025","websitetests.SyncProductsTest","Surefire test","websitetests.SyncProductsTest","addItems"
"","7673","addItems","Surefire suite","Sat May 10 00:27:58 EEST 2025","passed","Sat May 10 00:28:06 EEST 2025","websitetests.SyncProductsTest","Surefire test","websitetests.SyncProductsTest","addItems"
"","6606","loginValidationTest","Surefire suite","Sat May 10 00:26:57 EEST 2025","passed","Sat May 10 00:27:04 EEST 2025","websitetests.LoginTest","Surefire test","websitetests.LoginTest","loginValidationTest"
"","4251","testCompleteCheckoutFlow","Surefire suite","Sat May 10 00:27:30 EEST 2025","passed","Sat May 10 00:27:34 EEST 2025","websitetests.SwagLabsTest","Surefire test","websitetests.SwagLabsTest","testCompleteCheckoutFlow"
"","1685","loginValidationTest","Surefire suite","Sat May 10 00:27:08 EEST 2025","passed","Sat May 10 00:27:09 EEST 2025","websitetests.LoginTest","Surefire test","websitetests.LoginTest","loginValidationTest"
"","2502","addItems","Surefire suite","Sat May 10 00:26:30 EEST 2025","failed","Sat May 10 00:26:33 EEST 2025","websitetests.AddItemsToCartTest","Surefire test","websitetests.AddItemsToCartTest","addItems"
"","4219","testCompleteCheckoutFlow","Surefire suite","Sat May 10 00:27:38 EEST 2025","passed","Sat May 10 00:27:43 EEST 2025","websitetests.SwagLabsTest","Surefire test","websitetests.SwagLabsTest","testCompleteCheckoutFlow"
"","533","loginValidationTest","Surefire suite","Sat May 10 00:27:14 EEST 2025","passed","Sat May 10 00:27:14 EEST 2025","websitetests.LoginTest","Surefire test","websitetests.LoginTest","loginValidationTest"
"","2816","addButtonFunction","Surefire suite","Sat May 10 00:26:05 EEST 2025","failed","Sat May 10 00:26:08 EEST 2025","websitetests.AddButtonTest","Surefire test","websitetests.AddButtonTest","addButtonFunction"
